Ticker,Exposure,Asset class,First quoted,"Median daily turnover, traded panel window 2006-02-03..2018-12-31 (USD)",Selection ground,Selection inputs,Limitation
SPY,us_large_cap_equity,equity,1993-01-29,20256600000.0,"Oldest fund in the entire 745-file extract (1993-01-29, 6528 sessions) and the most liquid by a factor of 5.8x over the next-largest fund. IVV (2000-05-19) and VTI (2001-05-31) are seven to eight years younger and 37x/126x thinner, so neither criterion is in tension.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IWM,us_small_cap_equity,equity,2000-05-26,3818700000.0,"Oldest liquid US small-cap fund. IJR shares the identical inception date of 2000-05-26 but trades USD 93.9m per day against IWM's USD 3818.7m, 41x thinner; inception ties, so liquidity decides.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IYR,us_real_estate,real_estate,2000-06-19,574000000.0,"Oldest and most liquid listed-real-estate fund in the extract: 2000-06-19 against VNQ 2004-09-29 (USD 164.3m per day), ICF 2001-02-02 (USD 30.5m) and RWR 2001-04-27 (USD 16.9m). Wins on both criteria at once, so no trade-off is being made.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
EFA,developed_ex_us_equity,equity,2001-08-17,1021900000.0,"Oldest broad developed-ex-US fund and the most liquid. VEA (2007), VEU (2007) and ACWX (2008) are six or more years younger and 10-20x thinner. Single-country funds from 1996 are not a broad exposure and would require constructing a basket, which is a portfolio decision rather than a fund selection.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
EEM,emerging_equity,equity,2003-04-11,2210000000.0,Oldest broad emerging-market fund and the more liquid of the two credible candidates: VWO is 23 months younger at USD 475.4m per day against EEM's USD 2210.0m.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
SHY,treasury_1_3y_cash_proxy,rates,2002-07-26,75900000.0,"Oldest short-duration Treasury fund by 4.5 years and the most liquid. The purer bill proxies arrive far later and thinner (SHV 2007-01-11, BIL 2007-05-30); taking one of them would push the fully-quoted date from 2006-02-03 to 2007-05-30 and cost 341 sessions for a 1.9-year versus 0.3-year duration difference.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IEF,treasury_7_10y,rates,2002-07-26,82800000.0,"Oldest intermediate Treasury fund by 4.5 years; IEI launched 2007-01-11 at USD 20.3m per day, later and 4x thinner. Required to span the Treasury curve between SHY and TLT. Thinnest fixed-income leg in the early window at USD 13.1m per day in 2006.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
TLT,treasury_20y_plus,rates,2002-07-26,701900000.0,Oldest long-duration Treasury fund by 4.5 years and overwhelmingly the most liquid. TLH and EDV are both later and roughly 200x thinner; neither could carry an institutional allocation at any point in the sample.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
LQD,investment_grade_credit,credit,2002-07-26,163700000.0,"Oldest corporate credit fund by 4.5 years and the most liquid investment-grade vehicle; USIG, IGSB and IGIB all launched 2007-01-11. HYG is a distinct exposure rather than a peer, and admitting it would push the fully-quoted date to 2007-04-11 at a cost of 296 sessions.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
GLD,gold,commodity,2004-11-18,982900000.0,"Oldest gold vehicle in the extract by 71 days and 19.5x more liquid than its only peer, IAU. Also the cleanest instrument in the panel: zero distributions and zero splits over its whole life, so adjusted and unadjusted closes are identical and it serves as the analytic control for the adjustment reconciliation.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
