Ticker,Exposure,Exclusion ground,Selection inputs,Limitation
IVV,us_large_cap_equity,Later inception (2000-05-19) and 37x thinner than SPY.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VTI,us_large_cap_equity,Later inception (2001-05-31) and 126x thinner than SPY.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
QQQ,us_large_cap_equity,"A single-exchange growth index, not a broad US large-cap exposure.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IJR,us_small_cap_equity,Ties IWM on inception (2000-05-26) and is 41x thinner.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VNQ,us_real_estate,Later inception (2004-09-29) and 3.5x thinner than IYR.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
ICF,us_real_estate,Later inception (2001-02-02) and 19x thinner than IYR.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
RWR,us_real_estate,Later inception (2001-04-27) and 34x thinner than IYR.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VEA,developed_ex_us_equity,Later inception (2007-07-26) and 10x thinner than EFA.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VEU,developed_ex_us_equity,Later inception (2007-03-08) and 22x thinner than EFA.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VGK,developed_ex_us_equity,Europe only; not a broad developed-ex-US exposure.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IEV,developed_ex_us_equity,"Europe only, and 53x thinner than EFA.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
VWO,emerging_equity,Later inception (2005-03-10) and 4.6x thinner than EEM.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
SHV,treasury_1_3y_cash_proxy,Later inception (2007-01-11) and 2.2x thinner than SHY; would cost 341 panel sessions.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
BIL,treasury_1_3y_cash_proxy,Later inception (2007-05-30) and 3.9x thinner than SHY; would cost 341 panel sessions.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IEI,treasury_7_10y,Later inception (2007-01-11) and 4x thinner than IEF.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
TLH,treasury_20y_plus,Later inception (2007-01-11) and roughly 230x thinner than TLT.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
EDV,treasury_20y_plus,Later inception (2007-12-19) and roughly 185x thinner than TLT.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
USIG,investment_grade_credit,Later inception (2007-01-11) and 36x thinner than LQD.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IGSB,investment_grade_credit,Later inception (2007-01-11) and 4x thinner than LQD.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IGIB,investment_grade_credit,Later inception (2007-01-11) and 7x thinner than LQD.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
HYG,high_yield_credit,A distinct exposure rather than a peer of LQD; admitting it would move the fully-quoted date to 2007-04-11 and cost 296 sessions.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
IAU,gold,Later inception (2005-01-28) and 19.5x thinner than GLD.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
GSG,broad_commodities,Later inception (2006-07-21) and 5.5x thinner than DBC; median daily turnover of roughly USD 6m cannot carry an institutional allocation.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
AGG,us_aggregate_bond,"By construction Treasuries plus agency mortgages plus investment-grade credit, all of which SHY, IEF, TLT and LQD already carry; adding it introduces a near-linear dependency in the panel without adding an exposure. A construction argument from the fund's mandate.","asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
TIP,inflation_linked_treasury,A genuinely distinct exposure that the pre-declared coverage list does not name; admitting it after the coverage list was written would be a universe change rather than an application of the rule.,"asset-class coverage, inception date, liquidity",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection
