variant,evaluation_mode,bound,bound_value,binding_status,observation_unit,observations,binding_observations,binding_share,extreme_observed,binding_basis
baseline,baseline,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8457955875216576,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
baseline,baseline,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
baseline,baseline,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.1117169008057015,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
baseline,baseline,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
baseline,baseline,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
baseline,baseline,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.00_min0.00,as_is,max_risk_scalar,1.0,measured,monthly decision,300,60,0.2,1.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.00,as_is,min_risk_scalar,0.0,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,20,0.0030660738923808063,5.153849848738706,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.00_min0.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.00_min0.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.00_min0.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.00_min0.10,as_is,max_risk_scalar,1.0,measured,monthly decision,300,60,0.2,1.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.10,as_is,min_risk_scalar,0.1,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.10,as_is,max_gross_notional_multiple,5.0,measured,session,6523,20,0.0030660738923808063,5.153849848738706,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.00_min0.10,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.00_min0.10,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.00_min0.10,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.00_min0.25,as_is,max_risk_scalar,1.0,measured,monthly decision,300,60,0.2,1.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.25,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.00_min0.25,as_is,max_gross_notional_multiple,5.0,measured,session,6523,20,0.0030660738923808063,5.153849848738706,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.00_min0.25,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.00_min0.25,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.00_min0.25,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.25_min0.00,as_is,max_risk_scalar,1.25,measured,monthly decision,300,19,0.06333333333333334,1.25,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.00,as_is,min_risk_scalar,0.0,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,23,0.0035259849762379275,5.136933916899562,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.25_min0.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
